,PC0,PC1,PC2,PC3,PC4,PC5,PC6
EigenValue,7.212476941440576,1.5709301278494836,1.0692584219178296,1.033753809047632,0.8338642577393057,0.6578675660191219,0.604700999025376
Proportion,51.488652025987015,11.214604270724484,7.633254880255722,7.379793458855896,5.9528157874528445,4.6964051962953075,4.316858074053758
Cumulative,51.488652025987015,62.7032562967115,70.33651117696722,77.71630463582312,83.66912042327597,88.36552561957127,92.68238369362503

WMC,0.2499233174400851,-0.24074448246708915,0.00614512477446429,-0.0015149985537477838,-0.15816338801889204,0.03857309700269713,0.06902012764470448
DIT,0.39185795407264945,0.1454264578324608,-0.000542719312077986,-0.3387176023366255,0.007329343886210847,-0.035679579581556535,0.0056635489849342765
NOC,0.002653184940917262,-0.006041980664258153,-0.9988406061211494,-0.0016861945757377433,-0.005607797429449067,0.0021781858095077417,0.0023911602999458557
CBO,-0.0024876174342364095,0.002461049704509646,-0.002591771970177701,0.008036729864039848,0.029377548805264622,0.012208481774585517,0.9825678158662432
RFC,0.26180538828533806,-0.24509685131845343,0.015051767052397988,0.024805728990842643,-0.02641550178712966,0.14084606493491275,0.003803719328499637
LCOM,-0.11842762005527427,-0.7600470342040937,-0.01670156401181324,-0.029212199020361224,0.029796073268122003,-0.14480145173781467,0.000376664215722469
NPM,0.20172394302579677,-0.19707880127211538,0.03230960227418012,-0.03771059856431471,-0.2829527234874955,-0.03306139242450122,0.13089489013045083
DAM,-0.032414389274037364,0.06873991954971084,-0.002693948237573098,-0.016423885996922367,-0.027508273354821883,0.925912774462341,0.015873294837224442
MOA,0.4918492749396633,0.09877032658039418,-0.007841678236339342,0.11251722283322868,-0.05326568038491219,-0.10281653636740237,-0.025673198053729324
MFA,-0.02240500999625687,-0.022921342071849683,-0.0021446818806424395,-0.9232060210635888,0.014181303886461712,0.016415990750663186,-0.010009170971808866
CAM,0.5418889794348711,0.20469070421059812,-0.013767787965772826,0.049725882314932815,0.08410920272972026,-0.1043776352254365,0.004972546920150577
MAX_CC,0.2874573864072631,-0.2320997155953996,-0.01144001009161433,0.11603035631659979,0.21247923621921574,0.24891864470769393,-0.07392306544491901
AVG_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC,0.20196358500212758,-0.3647470677278581,0.0160492232395093,-0.028920053170724342,0.05446283056604832,0.11562313216625142,-0.06665338750449225
VD,-0.013403313704342345,0.021249351232684364,-0.008479889733786905,0.017279731868421404,-0.9129103331027439,0.028426752188670468,-0.04083571189328095

,METRICS,PC_MAX
PC0,CAM,0.5418889794348711
PC1,LCOM,-0.7600470342040937
PC2,NOC,-0.9988406061211494
PC3,MFA,-0.9232060210635888
PC4,vd,-0.9129103331027439
PC5,DAM,0.925912774462341
PC6,CBO,0.9825678158662432
