,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7
EigenValue,5.823859115403766,2.0526909654875913,1.6570242458309903,1.2823422106644293,0.9456839941426268,0.7988182227416563,0.6479429724817666,0.5791326157385219
Proportion,38.7166664039014,13.646166530863187,11.01579788895133,8.524934172020075,6.286850522858281,5.310495675529732,4.307486053015485,3.8500389248534663
Cumulative,38.7166664039014,52.36283293476458,63.37863082371591,71.90356499573599,78.19041551859428,83.50091119412401,87.8083972471395,91.65843617199296

WMC,0.5008367904757527,-0.013590825539950745,0.02578307310547236,0.04404703583466086,-0.007412940819451962,-0.012483243644591024,-0.0008907426526773562,0.0071954686170431666
DIT,-0.005275726525036897,0.6659180500047015,0.000767126986746006,-0.008464444581293357,-0.022680277055496145,-0.01315389069667406,0.045117907185912395,0.14692467387454952
NOC,0.005963917376511145,0.0038176695771826707,-0.00452006380885955,-0.0016683524355176193,-0.9939014146208891,-0.017605225651407593,-0.0051187060153699716,-0.00013763446644142816
CBO,-0.0723161341252032,-0.030558973828905187,0.025581938728810906,0.011531012873762798,-0.038341377383496925,-0.8214087118912387,0.03237346526118063,-0.012033328067540896
RFC,0.26675011225831385,0.09199549802979429,-0.029211380670380805,0.10341363628612485,0.0788043793071439,-0.34196854482924666,0.03191813927121392,0.055533440204599806
LCOM,0.608740891874369,-0.006482479746528612,0.05655354334765979,-0.0848640072592104,-0.03409059608189244,0.18919330989393435,-0.0690349871300822,0.0011199792642292978
NPM,0.3125415662702318,-0.047805591631662744,0.0628986615562129,0.06666931249696784,0.00651476757924952,-0.2761929753055237,0.02353670986381637,-0.018823544176597717
DAM,-0.0007452847729555804,-0.00823628674793067,-0.0009285369341656667,-0.0004442768602008581,0.00025383356035909053,0.005389432141994199,-8.136167571659442e-05,0.9770191912218295
MOA,-0.017588475176932992,0.022250275497730922,-0.02617379979567553,-0.11156861066078891,0.01390517992014483,-0.05688036620123184,0.859967556576842,0.001397217489665381
MFA,-0.0008729887878662834,0.7312424941342928,0.014447203024323478,0.02438193138926884,0.007443190330961928,0.044370950734288976,-0.016055254684014322,-0.12933985230954098
CAM,0.028937841496896054,-0.03812092200754157,0.05459964724949175,-0.8081737371909163,-0.016203483057203847,0.08489212491265768,0.19181097514324533,-0.0016782499346511626
MAX_CC,0.008594353145422713,0.02117895275664266,-0.6574874901108048,-0.03366184346534035,0.005760827827828513,-0.11283512842239776,0.08703376767043405,-0.040545026107324855
AVG_CC,-0.019053517915544525,-0.032071564046262796,-0.7203722867464811,0.056617198365809064,-0.01648065565708127,0.1207267471015276,-0.04635583908352324,0.03339326074014078
LOC,0.44981687408575977,0.012489319556914071,-0.1554446953536318,-0.01802320299650272,0.012827685255144402,0.007990049467163049,0.05929334480826632,-0.02543270508692932
VD,0.023365950060336843,-0.07914940555135866,0.10671021895926741,0.5519609623831165,-0.041534418708830234,0.23626117610742717,0.4480155100073675,-0.008432361295765162

,METRICS,PC_MAX
PC0,LCOM,0.608740891874369
PC1,MFA,0.7312424941342928
PC2,AVG_CC,-0.7203722867464811
PC3,CAM,-0.8081737371909163
PC4,NOC,-0.9939014146208891
PC5,CBO,-0.8214087118912387
PC6,MOA,0.859967556576842
PC7,DAM,0.9770191912218295
