,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7
EigenValue,5.51163936684084,2.2325137622016937,1.9145859826344276,1.3275611653866635,1.20011463995415,0.7944920538886096,0.5513995812042277,0.4143174474222416
Proportion,36.58656174841418,14.819547720480491,12.709125836085477,8.812423186543807,7.966426222299368,5.273881444983047,3.6602203959765633,2.7502617396841225
Cumulative,36.58656174841418,51.40610946889467,64.11523530498015,72.92765849152396,80.89408471382332,86.16796615880637,89.82818655478293,92.57844829446705

WMC,0.4896585937410647,0.028918128447744305,0.020346566452265662,-0.0896305471298458,-0.0190356483927077,0.028372673501987952,-0.022866883575211296,-0.020430952432125966
DIT,0.013568810370975399,0.00430933980634663,-0.7062313462801207,-0.014434625724405115,0.008149294169015078,-0.022006614598523974,-0.007907535818489724,-0.02848393560721416
NOC,-0.008160381861901886,0.02347398575500647,-0.009153644982157946,-0.0915931333740543,0.9059685604309843,0.08071225134613647,-0.012850582132479478,0.08132589995569053
CBO,0.03529096909551623,-0.011129642308222236,0.01906699275265789,0.11876292501930596,0.12101404464769505,-0.08207704155412994,0.03807934310766182,0.8511174486343203
RFC,0.35395055832552036,0.02809514612252486,-0.044676332886879444,-0.053892279125158656,-0.10889322130324311,0.1634189297341405,0.17514421772550648,0.03850731595014137
LCOM,0.5070920862801531,-0.04562734014944672,-0.027576753440860902,0.20700249686945132,0.05552777159667421,-0.10908249373722782,0.09814379034748102,0.09478689114195482
NPM,0.526062075101478,-0.09497120000922572,0.0025690931234723467,-0.15144864787335052,-0.017544840885280057,-0.013329973876409265,-0.274548956995105,0.035377726055473804
DAM,-0.004559046402146109,-0.02239255337251542,0.004916606541633087,0.06244680478109704,0.06664208611654225,0.9328139045365101,-0.005250357241475814,-0.04198991310498031
MOA,-0.013809151004124286,-0.022297067011860496,-0.0003371078583563632,-0.044454200337795964,-0.009079644215798223,-0.007207714667446784,0.9208731910532888,0.023910900949971094
MFA,-0.009604814620786231,0.001734124580303943,-0.7019467211413667,0.025128604821609325,0.006820940126495988,0.012646206856197214,0.009184584393400594,0.004937577782855991
CAM,0.0890731094811487,-0.11661229518791216,0.03299333740693807,0.38105897420640156,0.3565875987523795,-0.24153036385582927,0.05334595204775462,-0.4568271502782425
MAX_CC,-0.009936460555595106,0.6386798742676287,0.009502086014208119,0.03916804072416301,0.06666162647136317,-0.06476000962143501,-0.01602572226512465,-0.02012425389502701
AVG_CC,-0.07144053862202483,0.6451965753099583,-0.02797524351370589,-0.024142254813433784,-0.015278815725166659,-0.014366149373880853,-0.06986860030647721,0.06278876730354976
LOC,0.29271356245554375,0.38391479139080437,0.05322140580028521,0.054305848921670875,-0.008099552975646658,0.07018309864553963,0.15099528591081196,-0.17804138680420548
VD,0.021263907386509767,-0.01995906813062907,0.008089674051474816,-0.8624347457584942,0.11149550347897391,-0.09306277191576622,0.05666924575330762,-0.0945569532332039

,METRICS,PC_MAX
PC0,NPM,0.526062075101478
PC1,AVG_CC,0.6451965753099583
PC2,DIT,-0.7062313462801207
PC3,vd,-0.8624347457584942
PC4,NOC,0.9059685604309843
PC5,DAM,0.9328139045365101
PC6,MOA,0.9208731910532888
PC7,CBO,0.8511174486343203
